Título,Artista,Tom_Original,BPM,CifraDriveID,CifraSimplificadaID
Papo de Samba,Fundo de Quintal,,,1UdacwFs_8UgrVlvTJofvbtj56AQz18ig,
Pe na Areia,Diogo Nogueira,,,1bJvQ_9tm5HbornKYCkabMM7S2JLLA6ZR,
Pela Vida Inteira,Soweto,,,12ILOPlpONAgOKSjDsJRHqZVg2Kjnhwhq,
Pimpolho,Molejo,,,1kRUQD-ygR1EBjSL7WVnU9LQSXkYR7xGZ,
Preciso Te Amar,Revelacao,,,19NOp98E231K21X7pGeIuYedW1VqSyhRz,
Primavera,Tim Maia,,,1LJg39wO9FCCVfz28OfgWqLwT4hwUSwe6,
Problema Emocional,Reinaldo,,,1g2wg9W_IhmAYHibX9k23Ygd4qRbJ4igZ,
Quando o Sol Nascer,Grupo Sensação,F#m,,14M9w4HrDX6Ei4a-wEOt9nvLa5gmiPH_N,
Quando o Sol Nascer,Marquinhos Sensação,,,1QSAZPUxEDCPTof5GrHR04fTh6hz91fkH,
Que se Chama Amor,Só Pra Contrariar,,,10S8kEdh19fFsIW3D-fkwVUSb-S9ufno1,
Que Situação,Bokaloka,,,1NdStZoy-SVU1V7wA5_ik2pr8G8jnGg55,
Reinventar,Belo,,,1vmiPntltrp8yD_03JpPsoyKkgDnqm_EZ,
Retalhos de Cetim,Revelação,A,,,
Rodo Cotidiano,O Rappa,,,1B4n-8QnRouJ3CYwzzQ6d_L6ckjRtVzG5,
Réu Confesso,Tim Maia,,,11T04vqBSIha3xIPhwhLzknlH_OhBQnog,
Sai da Minha Aba,So Pra Contrariar,,,1cxIc9_l6Jbvxqk0vObeW-82MyRH2cMyX,
Sem Abuso,Art Popular,,,1k67EQ1zNghj7QcoFXbgHqg8eMPt_eZ2D,
Sentimento Nú,Marquinhos Sensação,Am,,1-KayiPPJ-bfAoc73OWDEQNdo0dgV5e4Q,
Sera que e Amor,Arlindo Cruz,,,1gp1U0eL8-z4ZnIAfyHwg6vcd695T3oYT,
Sinais,Sorriso Maroto,,,1zQBct1pPdDp2WYY-f1SWV_mfo_oQIAHA,
Sinais de Fogo,Preta Gil,,,1Jgs8642LJDuImGUK8V_B5yI646BQ3bOu,
Sombra da Maldade,Cidade Negra,,,1B4n-8QnRouJ3CYwzzQ6d_L6ckjRtVzG5,
Taj Mahal,Jorge Ben,,,1hgn6UdADgy4F1JlKWCx7sQpp0v659tPu,
Tarde Demais (Voce Jogou Fora),Raca Negra,,,1sHYbjrB1_wmZxxezZ-NjXkyNhYLpr2pr,
Telegrama,Exaltasamba,,,1O7dvjDlhm9QpArrTlFH1ntC6EPDb4Hej,
Tempo de Aprender,Thiaguinho,,,1AI6Ey2BZOKtka46hfLwvFcU6f8CjCJMJ,
Tempo de Aprender,Belo,D,,1bwlHTciQDatHJTMj5lIHLCkhP1b9t3uM,1K8F8SnRmOvR34dr3toNqSbH18Ctr_fec
Temporal,Art Popular,,,1f7Ly2lVHnenze11mBkerOurKkcN6viLk,
Toda Noite,Bokaloka,,,1C1RpgMc19MdMc5HliG0KB-Nc8TzXur2t,
Tô Te Filmando,Thiaguinho,,,19ApyEkFx7_azqt4D7qrbZf90EbqhhEYz,
Vacilão, Zeca Pagodinho,C,,1VPYFua2ltY8UvZ6tNkLDrDNqh3ZvJyWz,1tmDBAj09a8jeTl2fDdNh4EE06eMNKAkh
Vai la Vai la,Fundo de Quintal,,,1Kk5AgwvnSUGgxSgXiqhEFQsy8ysHp5XZ,
Vem pra cá,Negritude Jr,,,1bi3Z06ofE2LM-B9I9M3ft6SoXm0lcV0a,
Você,Tim Maia,,,1hkWWN7aQSlNigFlkXSh7eeaFJBKqxh1M,
W\Brasil,Jorge Ben,,,1_H59EqV9ck7lKrK9g20W6VazGn8bjCNq,
